wst_oper,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
GEN,KG_HAB,AT	580 	576 	608 	607 	574 	575 	597 	597 	600 	590 	562 	573 	579 	578 	566 	560 	564 
GEN,KG_HAB,BA	: 	: 	: 	: 	: 	: 	: 	: 	356 	354 	332 	340 	340 	311 	: 	: 	: 
GEN,KG_HAB,BE	471 	467 	482 	465 	485 	482 	485 	493 	479 	467 	456 	456 	444 	437 	426 	412 	420 
GEN,KG_HAB,BG	612 	596 	602 	603 	599 	588 	577 	553 	599 	598 	554 	508 	460 	432 	442 	419 	404 
GEN,KG_HAB,CH	656 	660 	674 	667 	660 	661 	709 	720 	736 	702 	708 	689 	694 	702 	730 	725 	720 
GEN,KG_HAB,CY	628 	650 	655 	670 	684 	688 	694 	704 	728 	729 	689 	672 	657 	618 	614 	638 e	640 e
GEN,KG_HAB,CZ	335 	274 	279 	280 	279 	289 	297 	294 	306 	317 	318 	320 	308 	307 	310 	316 	339 
GEN,KG_HAB,DE	642 s	632 s	640 	601 	587 	565 	564 	582 	589 	592 	602 	626 	619 	615 	631 	632 	626 e
GEN,KG_HAB,DK	664 	657 	664 	671 	695 	736 	740 	790 	830 	762 e	: 	781 	791 	790 	789 	789 	777 
GEN,KG_HAB,EE	453 	366 	401 	414 	445 	433 	398 	449 	392 	339 	305 	301 	280 	293 	357 	359 	376 
GEN,KG_HAB,EL	412 	420 	426 	431 	436 	442 	447 	453 	458 	464 	532 	503 	495 	482 	488 	488 	497 
GEN,KG_HAB,ES	653 	652 	637 	646 	600 	588 	590 	578 	551 	542 	510 	485 	468 	454 	448 	456 	443 
GEN,KG_HAB,EU27	523 s	522 s	527 s	515 s	514 s	517 s	523 s	525 s	522 s	512 s	505 	499 s	486 s	479 s	479 s	481 s	481 
GEN,KG_HAB,EU28	521 s	: 	: 	: 	512 s	515 s	522 s	524 s	521 s	511 s	504 	498 s	485 s	478 s	479 s	481 s	480 s
GEN,KG_HAB,FI	502 	465 	458 	466 	469 	478 	494 	506 	521 	480 	470 	505 	506 	493 	482 	500 	504 
GEN,KG_HAB,FR	514 	526 	530 	506 	519 	530 	536 	543 	541 	535 	534 e	534 	527 e	520 	519 e	517 	510 e
GEN,KG_HAB,HR	262 e	: 	: 	: 	304 e	336 e	384 	399 	415 	405 	379 	384 	391 	404 	387 	393 	403 
GEN,KG_HAB,HU	446 	452 	457 	464 	454 	461 	468 	457 	454 	430 	403 	382 	402 	378 	385 	377 	379 
GEN,KG_HAB,IE	599 	699 	692 	730 	737 	731 	792 	772 	718 	651 	624 	617 	587 	586 s	567 	: 	: 
GEN,KG_HAB,IS	462 	467 	476 	484 	503 	516 	563 	558 	655 	414 	484 	495 	511 	516 	535 	588 	656 
GEN,KG_HAB,IT	509 	516 	523 	524 	540 	546 	559 	557 	552 	543 	547 	529 	504 	491 	488 	486 	497 
GEN,KG_HAB,LT	365 	378 	405 	389 	373 	387 	405 	419 	428 	381 	404 	442 	445 	433 	433 	448 	444 
GEN,KG_HAB,LU	654 	646 	653 	678 	679 	672 	683 	695 	697 	679 	679 	666 	652 	616 	626 	607 	614 e
GEN,KG_HAB,LV	271 e	305 e	343 	304 	318 	320 	343 	391 	345 	352 	324 	350 	323 	350 	364 	404 	410 
GEN,KG_HAB,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	544 	514 	508 	551 	533 	: 
GEN,KG_HAB,MK	: 	: 	: 	: 	: 	: 	: 	: 	349 e	354 	351 e	357 	381 	384 	370 	380 	385 
GEN,KG_HAB,MT	533 	540 	541 	580 	623 	623 	624 	654 	674 	649 	601 	589 	591 	582 	600 	624 	647 
GEN,KG_HAB,NL	598 	595 	600 	586 	599 	599 	597 	606 	600 	589 	571 	568 	549 	526 	527 	523 	520 
GEN,KG_HAB,NO	613 	361 	392 	402 	414 	426 	459 	491 	487 	470 	469 	485 	477 	496 	423 	421 	754 
GEN,KG_HAB,PL	320 	290 	275 	260 	256 	319 e	321 e	322 e	320 e	316 e	316 e	319 e	317 e	297 e	272 e	286 e	307 e
GEN,KG_HAB,PT	457 	454 	441 	449 	445 	452 	465 	471 	518 	520 	516 	490 	453 	440 	453 	: 	: 
GEN,KG_HAB,RO	355 e	341 e	385 e	353 e	349 e	383 e	396 e	391 e	411 e	381 e	313 	259 	251 	254 	249 	247 	261 
GEN,KG_HAB,RS	: 	: 	: 	: 	: 	: 	233 	280 	347 	360 	363 	375 	364 	336 	299 	259 	268 
GEN,KG_HAB,SE	428 	439 	465 	464 	460 	477 	490 	486 	483 	470 	439 	449 	450 	451 	438 	447 	443 
GEN,KG_HAB,SI	513 e	478 	407 	418 	485 	494 	516 	525 	542 	524 	490 	415 	362 	414 	432 	449 	466 
GEN,KG_HAB,SK	254 	239 	270 	281 	261 	273 	284 	294 	313 	307 	319 	311 	306 	304 	320 	329 	348 
GEN,KG_HAB,TR	465 e	476 	470 	465 	440 	458 e	434 	433 e	400 	419 e	407 	416 e	410 	406 e	405 e	400 e	426 e
GEN,KG_HAB,UK	577 	591 	598 	591 	602 	581 	583 	567 	541 	522 	509 	491 	477 	482 	482 	483 	483 
GEN,KG_HAB,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	417 e	399 e	: 	178 	: 
